event_wall_ms,event_wall_ts,period,clock,description,event_type,scorer_side,scorer_label,scorer_team_id,expected_team_id,team_id_matches_side,points,pre_home_points,pre_away_points,post_home_points,post_away_points,pre_diff_for_scorer
1780706626000.0,2026-06-06 00:43:46+00:00,1,11:36,Devin Vassell makes three point jump shot (Stephon Castle assists),threepointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,3,0,0,3,0,0
1780706663000.0,2026-06-06 00:44:23+00:00,1,11:08,Jalen Brunson makes two point stepback jump shot,twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,3,0,3,2,3
1780706708000.0,2026-06-06 00:45:08+00:00,1,10:55,Julian Champagnie makes regular free throw 1 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,3,2,4,2,-1
1780706708000.0,2026-06-06 00:45:08+00:00,1,10:55,Julian Champagnie makes regular free throw 2 of 2,freethrowmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,1,4,2,5,2,-2
1780706798000.0,2026-06-06 00:46:38+00:00,1,10:18,Jalen Brunson makes regular free throw 1 of 3,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,5,2,5,3,3
1780706821000.0,2026-06-06 00:47:01+00:00,1,10:18,Jalen Brunson makes regular free throw 2 of 3,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,5,3,5,4,2
1780706844000.0,2026-06-06 00:47:24+00:00,1,10:18,Jalen Brunson makes regular free throw 3 of 3,freethrowmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,1,5,4,5,5,1
1780706887000.0,2026-06-06 00:48:07+00:00,1,9:59,Julian Champagnie makes three point jump shot (Devin Vassell assists),threepointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,3,5,5,8,5,0
1780706936000.0,2026-06-06 00:48:56+00:00,1,9:34,Stephon Castle makes two point driving floating bank jump shot,twopointmade,home,SAS,ad36c3e8-4194-4e63-920f-7c50f46191a6,ad36c3e8-4194-4e63-920f-7c50f46191a6,True,2,8,5,10,5,-3
1780706950000.0,2026-06-06 00:49:10+00:00,1,9:20,OG Anunoby makes two point driving reverse layup (Karl-Anthony Towns assists),twopointmade,away,NYK,67468ecc-b868-43a4-b9dc-751a52894bb0,67468ecc-b868-43a4-b9dc-751a52894bb0,True,2,10,5,10,7,5
