bucket,horizon_ms,events,mean_market_shift,median_market_shift,positive_market_shift_share,structural_shift_benchmark,mean_market_minus_structural,profitable_roundtrip_events,positive_roundtrip_pnl_sum,positive_roundtrip_entry_cost_sum
H1_trailing_10_15_made_fg,250,9,-0.0005555555555555444,0.0,0.1111111111111111,0.0075,-0.008055555555555545,1,1.25,33.75
H1_trailing_10_15_made_fg,500,9,0.0005555555555555668,0.0,0.1111111111111111,0.0075,-0.006944444444444433,1,1.25,33.75
H1_trailing_10_15_made_fg,1000,9,0.0044444444444444444,0.0,0.3333333333333333,0.0075,-0.0030555555555555553,2,13.789800000000383,5010.4059
H1_trailing_10_15_made_fg,3000,9,0.017222222222222222,0.01,0.6666666666666666,0.0075,0.009722222222222222,4,2588.2992000000067,43911.810699999995
H1_trailing_10_15_made_fg,10000,8,0.01937499999999999,0.0175,0.75,0.0075,0.01187499999999999,5,8967.692100000022,111284.84699999998
H1_trailing_10_15_made_fg,60000,8,0.031875,0.025,0.75,0.0075,0.024375,5,18059.965000000022,160990.4459
H4_trailing_10_plus_made_3,250,3,-0.004999999999999967,-0.0049999999999999,0.0,0.0138,-0.018799999999999966,0,0.0,0.0
H4_trailing_10_plus_made_3,500,3,-0.0016666666666666334,0.0,0.0,0.0138,-0.015466666666666634,0,0.0,0.0
H4_trailing_10_plus_made_3,1000,3,0.008333333333333333,0.0,0.3333333333333333,0.0138,-0.0054666666666666665,1,4.434100000000399,4757.802
H4_trailing_10_plus_made_3,3000,3,0.03,0.04,0.6666666666666666,0.0138,0.0162,2,2011.6529000000064,22102.163999999997
H4_trailing_10_plus_made_3,10000,2,0.02999999999999995,0.02999999999999995,1.0,0.0138,0.01619999999999995,2,5047.778800000008,30706.58759999999
H4_trailing_10_plus_made_3,60000,2,0.025,0.025,1.0,0.0138,0.011200000000000002,2,2983.407400000011,45840.31409999999
