event_idx,ticker,event_wall_ts,period,clock,description,event_type,scorer_side,scorer_label,points,pre_score,post_score,pre_diff_for_scorer,pre_capture_lag_ms,pre_yes_bid,pre_yes_ask,pre_mid,pre_buy_premium_1c,pre_sell_premium_1c,pre_buy_premium_5c,pre_sell_premium_5c,first_plus_1c_ms,horizon_ms,post_capture_lag_ms,post_yes_bid,post_yes_ask,post_mid,mid_move,ask_move,bid_move,post_buy_premium_1c,post_sell_premium_1c,post_buy_premium_5c,post_sell_premium_5c,roundtrip_contracts,roundtrip_entry_cost,roundtrip_exit_proceeds,roundtrip_pnl,roundtrip_avg_entry,roundtrip_avg_exit,roundtrip_worst_entry,roundtrip_worst_exit
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11,370.89892578125,0.33,0.33999999999999997,0.33499999999999996,197755.2786,15037.6951,305042.828,50352.072700000004,,250,581.574951171875,0.33,0.33999999999999997,0.33499999999999996,0.0,0.0,0.0,57752.8892,22697.4891,134046.6386,65966.15669999999,0.0,0.0,0.0,0.0,,,,
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11,370.89892578125,0.33,0.33999999999999997,0.33499999999999996,197755.2786,15037.6951,305042.828,50352.072700000004,,500,581.574951171875,0.33,0.33999999999999997,0.33499999999999996,0.0,0.0,0.0,57752.8892,22697.4891,134046.6386,65966.15669999999,0.0,0.0,0.0,0.0,,,,
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11,370.89892578125,0.33,0.33999999999999997,0.33499999999999996,197755.2786,15037.6951,305042.828,50352.072700000004,,1000,1545.385986328125,0.33,0.33999999999999997,0.33499999999999996,0.0,0.0,0.0,54498.91299999999,30487.549100000004,140527.9624,75825.6867,0.0,0.0,0.0,0.0,,,,
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11,370.89892578125,0.33,0.33999999999999997,0.33499999999999996,197755.2786,15037.6951,305042.828,50352.072700000004,,3000,3440.656005859375,0.33,0.33999999999999997,0.33499999999999996,0.0,0.0,0.0,31657.200999999997,23646.1051,126557.2504,53425.642,0.0,0.0,0.0,0.0,,,,
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11,370.89892578125,0.33,0.33999999999999997,0.33499999999999996,197755.2786,15037.6951,305042.828,50352.072700000004,,10000,10235.614990234375,0.33,0.33999999999999997,0.33499999999999996,0.0,0.0,0.0,45784.93639999999,31941.825100000002,193458.9858,61721.362,0.0,0.0,0.0,0.0,,,,
27,KXNBAGAME-26JUN08SASNYK-NYK,2026-06-09 01:16:25.600000+00:00,2,11:39,J. Alvarado driving floating Jump Shot (2 PTS) (L. Shamet 2 AST),twopointmade,home,NYK,2,33-22,33-24,11,370.89892578125,0.33,0.33999999999999997,0.33499999999999996,197755.2786,15037.6951,305042.828,50352.072700000004,,60000,60739.458984375,0.31,0.31999999999999995,0.31499999999999995,-0.020000000000000018,-0.020000000000000018,-0.020000000000000018,64297.31509999999,19009.2472,132898.6751,37324.156500000005,0.0,0.0,0.0,0.0,,,,
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9,42.26708984375,0.65,0.6599999999999999,0.655,66730.03209999998,26541.650500000003,223582.61729999998,93081.4701,4723.97705078125,250,917.97998046875,0.65,0.6599999999999999,0.655,0.0,0.0,0.0,98438.73629999999,197.17000000000002,238515.8215,48405.8896,0.0,0.0,0.0,0.0,,,,
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9,42.26708984375,0.65,0.6599999999999999,0.655,66730.03209999998,26541.650500000003,223582.61729999998,93081.4701,4723.97705078125,500,917.97998046875,0.65,0.6599999999999999,0.655,0.0,0.0,0.0,98438.73629999999,197.17000000000002,238515.8215,48405.8896,0.0,0.0,0.0,0.0,,,,
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9,42.26708984375,0.65,0.6599999999999999,0.655,66730.03209999998,26541.650500000003,223582.61729999998,93081.4701,4723.97705078125,1000,1864.998046875,0.64,0.65,0.645,-0.010000000000000009,-0.009999999999999898,-0.010000000000000009,52785.778999999995,5934.0756,220777.54529999997,74672.27249999999,0.0,0.0,0.0,0.0,,,,
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9,42.26708984375,0.65,0.6599999999999999,0.655,66730.03209999998,26541.650500000003,223582.61729999998,93081.4701,4723.97705078125,3000,3785.160888671875,0.65,0.6599999999999999,0.655,0.0,0.0,0.0,42911.7127,20222.976000000002,238686.17789999998,85432.8183,0.0,0.0,0.0,0.0,,,,
28,KXNBAGAME-26JUN08SASNYK-SAS,2026-06-09 01:16:39.200000+00:00,2,11:25,C. Bryant 3PT  (3 PTS) (D. Fox 4 AST),threepointmade,away,SAS,3,33-24,36-24,-9,42.26708984375,0.65,0.6599999999999999,0.655,66730.03209999998,26541.650500000003,223582.61729999998,93081.4701,4723.97705078125,10000,10478.092041015625,0.67,0.6799999999999999,0.675,0.020000000000000018,0.020000000000000018,0.020000000000000018,99369.62759999998,115997.49600000001,352809.53779999993,151917.83080000003,44952.72,29783.4315,30118.3224,334.89090000000215,0.6625501526937635,0.67,0.6699999999999999,0.67
