event_wall_ms,event_wall_ts,period,clock,description,event_type,scorer_side,scorer_label,scorer_team_id,expected_team_id,team_id_matches_side,points,pre_home_points,pre_away_points,post_home_points,post_away_points,pre_diff_for_scorer,action_number,order_number
1780965941000.0,2026-06-09 00:45:41+00:00,1,10:42,V. Wembanyama alley-oop DUNK (2 PTS) (D. Fox 1 AST),twopointmade,away,SAS,1610612759,1610612759,True,2,0,0,0,2,0,14,140000
1780965978200.0,2026-06-09 00:46:18.200000+00:00,1,10:14,V. Wembanyama DUNK (4 PTS) (S. Castle 1 AST),twopointmade,away,SAS,1610612759,1610612759,True,2,0,2,0,4,-2,17,170000
1780966005000.0,2026-06-09 00:46:45+00:00,1,9:48,D. Vassell 3PT  (3 PTS) (D. Fox 2 AST),threepointmade,away,SAS,1610612759,1610612759,True,3,0,4,0,7,-4,22,220000
1780966020900.0,2026-06-09 00:47:00.900000+00:00,1,9:32,J. Hart 25' 3PT  (3 PTS) (K. Towns 1 AST),threepointmade,home,NYK,1610612752,1610612752,True,3,0,7,3,7,7,24,240000
1780966040300.0,2026-06-09 00:47:20.300000+00:00,1,9:14,S. Castle driving Layup (2 PTS),twopointmade,away,SAS,1610612759,1610612759,True,2,3,7,3,9,-4,26,260000
1780966084300.0,2026-06-09 00:48:04.300000+00:00,1,9:00,J. Brunson 7' turnaround fadeaway bank Jump Shot (2 PTS),twopointmade,home,NYK,1610612752,1610612752,True,2,3,9,5,9,6,31,310000
1780966171100.0,2026-06-09 00:49:31.100000+00:00,1,8:33,V. Wembanyama Layup (6 PTS) (S. Castle 2 AST),twopointmade,away,SAS,1610612759,1610612759,True,2,5,9,5,11,-4,40,400000
1780966228300.0,2026-06-09 00:50:28.300000+00:00,1,8:01,S. Castle 26' 3PT  (5 PTS) (V. Wembanyama 1 AST),threepointmade,away,SAS,1610612759,1610612759,True,3,5,11,5,14,-6,46,460000
1780966268900.0,2026-06-09 00:51:08.900000+00:00,1,7:51,J. Brunson Free Throw 1 of 2 (3 PTS),freethrowmade,home,NYK,1610612752,1610612752,True,1,5,14,6,14,9,50,500000
1780966310800.0,2026-06-09 00:51:50.800000+00:00,1,7:34,S. Castle 14' pullup Jump Shot (7 PTS),twopointmade,away,SAS,1610612759,1610612759,True,2,6,14,6,16,-8,57,570000
1780966334300.0,2026-06-09 00:52:14.300000+00:00,1,7:10,J. Hart 25' 3PT  (6 PTS) (L. Shamet 1 AST),threepointmade,home,NYK,1610612752,1610612752,True,3,6,16,9,16,10,58,580000
1780966345400.0,2026-06-09 00:52:25.400000+00:00,1,7:02,V. Wembanyama driving floating bank Jump Shot (8 PTS) (S. Castle 3 AST),twopointmade,away,SAS,1610612759,1610612759,True,2,9,16,9,18,-7,60,600000
1780966383700.0,2026-06-09 00:53:03.700000+00:00,1,7:02,V. Wembanyama Free Throw 1 of 1 (9 PTS),freethrowmade,away,SAS,1610612759,1610612759,True,1,9,18,9,19,-9,63,630000
1780966649000.0,2026-06-09 00:57:29+00:00,1,6:43,O. Anunoby 9' turnaround fadeaway Jump Shot (2 PTS),twopointmade,home,NYK,1610612752,1610612752,True,2,9,19,11,19,10,67,660000
1780966714400.0,2026-06-09 00:58:34.400000+00:00,1,5:48,D. Harper driving Layup (2 PTS),twopointmade,away,SAS,1610612759,1610612759,True,2,11,19,11,21,-8,71,700000
1780966748000.0,2026-06-09 00:59:08+00:00,1,5:14,O. Anunoby running DUNK (4 PTS) (J. Brunson 1 AST),twopointmade,home,NYK,1610612752,1610612752,True,2,11,21,13,21,10,77,760000
1780966765900.0,2026-06-09 00:59:25.900000+00:00,1,4:56,D. Vassell 26' 3PT  (6 PTS) (D. Harper 1 AST),threepointmade,away,SAS,1610612759,1610612759,True,3,13,21,13,24,-8,79,780000
1780966871000.0,2026-06-09 01:01:11+00:00,1,3:45,K. Towns driving floating Jump Shot (2 PTS),twopointmade,home,NYK,1610612752,1610612752,True,2,13,24,15,24,11,96,950000
1780966891700.0,2026-06-09 01:01:31.700000+00:00,1,3:24,J. Hart running Layup (8 PTS),twopointmade,home,NYK,1610612752,1610612752,True,2,15,24,17,24,9,99,980000
1780967220700.0,2026-06-09 01:07:00.700000+00:00,1,2:49,K. Johnson driving floating Jump Shot (2 PTS) (D. Fox 3 AST),twopointmade,away,SAS,1610612759,1610612759,True,2,17,24,17,26,-7,115,1130000
